"Brinco","Tatuagem","Correspondente","Data de Nascimento","Data de Entrada","Raça","Status","Idade","Baia","Peso de entrada","AC","Ultimo cio","TSI","Mãe","Pai","DP","SC","CIO","QTD CIO",
"52191","F3674","59060","6/1/2023","11/14/2023","TLLZZ - TN70","","221","","","","12/21/2023","108","BMBD6206","PS01078318","C","CC","Regular","2",
"50840","F3655","59108","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/31/2023","109","BMBD1364","PS01078318","C","CC","Regular","2",
"50843","F3661","59182","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","1/7/2024","117","BMBE0963","PS01078318","C","CC","Regular","3",
"51026","F3669","59152","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","1/3/2024","98","BMBE3704","PS01078318","C","CC","Regular","2",
"51028","F3656","59135","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/25/2023","109","BMBD1364","PS01078318","C","CC","Regular","2",
"51040","F3662","59123","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/22/2023","117","BMBE0963","PS01078318","C","CC","Regular","2",
"51042","F3659","59077","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","1/3/2024","109","BMBD1364","PS01078318","C","CC","Regular","3",
"50848","F3598","59099","5/27/2023","11/7/2023","TLLZZ - TN70","","226","27V","","","1/3/2024","98","BMBD5717","PS01077243","C","CC","Regular","3",
"51043","F3658","59048","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/23/2023","109","BMBD1364","PS01078318","C","CC","Regular","3",
"51875","F3650","59001","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/24/2023","109","BMBD1364","PS01078318","C","CC","Regular","1",
"52024","F3668","59072","5/31/2023","11/14/2023","TLLZZ - TN70","","222","","","","12/23/2023","98","BMBE3704","PS01078318","C","CC","Regular","1",
"52198","F3651","59011","5/31/2023","11/14/2023","TLLZZ - TN70","","222","","","","12/24/2023","109","BMBD1364","PS01078318","C","CC","Regular","2",
"52459","F3652","59090","5/31/2023","11/14/2023","TLLZZ - TN70","","222","","","","12/5/2023","109","BMBD1364","PS01078318","C","CC","Regular","1",
"51907","F3624","59165","5/29/2023","10/31/2023","TLLZZ - TN70","","224","","","","12/16/2023","98","BMBE3694","PS01077243","C","CC","Regular","3",
"51964","F3627","59174","5/29/2023","10/31/2023","TLLZZ - TN70","","224","","","","12/20/2023","98","BMBE3857","BNTL1138","C","CC","Regular","3",
"52218","F3626","59117","5/29/2023","10/31/2023","TLLZZ - TN70","","224","","","","1/5/2024","98","BMBE3857","BNTL1138","C","CC","Regular","4",
"52220","F3628","59138","5/29/2023","10/31/2023","TLLZZ - TN70","","224","","","","12/22/2023","98","BMBE3857","BNTL1138","C","CC","Regular","3",
"9668","F3645","9587","5/29/2023","11/7/2023","TZZZZ - AVÓ","","224","","","","12/24/2023","111","","","A","AA","Regular","2",
"51050","F3660","59085","5/31/2023","11/7/2023","TLLZZ - TN70","","222","","","","12/27/2023","109","BMBD1364","PS01078318","C","CC","Regular","2",
"50846","F3675","59102","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","12/8/2023","108","BMBD6206","PS01078318","C","CC","Regular","1",
"50849","F3578","59104","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","12/22/2023","98","BMBE0970","BJ01023195","C","CC","Regular","2",
"51044","F3576","59083","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","1/3/2024","98","BMBE0970","BJ01023195","C","CC","Regular","2",
"9268","F3495","9584","5/22/2023","10/31/2023","TZZZZ - AVÓ","","231","","","","12/29/2023","109","","","A","AA","Regular","2",
"9273","F3496","9644","5/22/2023","10/31/2023","TZZZZ - AVÓ","","231","","","","1/2/2024","109","","","A","AA","Regular","3",
"9274","F3474","9647","5/22/2023","10/31/2023","TZZZZ - AVÓ","","231","","","","12/26/2023","117","","","A","AA","Regular","3",
"51244","F3472","59103","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/25/2023","98","BMBE0755","BNTK6217","C","CC","Regular","3",
"51853","F3482","59127","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/22/2023","98","BMBE6298","GNHB5540","C","CC","Regular","3",
"51857","F3483","59132","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/23/2023","98","BMBE6298","GNHB5540","C","CC","Regular","3",
"51901","F3481","59126","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/4/2024","98","BMBE6298","GNHB5540","C","CC","Regular","3",
"51913","F3492","59143","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/3/2024","98","BMBD5677","GNHA5472","C","CC","Regular","4",
"51921","F3466","59177","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/27/2023","98","BMBE0755","BNTK6217","C","CC","Regular","3",
"51925","F3469","59172","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/27/2023","98","BMBE0755","BNTK6217","C","CC","Regular","3",
"51958","F3457","59163","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/3/2024","98","BMBD9615","BNTK4281","C","CC","Regular","3",
"51965","F3467","59166","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/7/2024","98","BMBE0755","BNTK6217","C","CC","Regular","4",
"51971","F3456","59167","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/7/2024","98","BMBD9615","BNTK4281","C","CC","Regular","4",
"51972","F3463","59156","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","12/27/2023","98","BMBE0755","BNTK6217","C","CC","Regular","2",
"52204","F3471","59180","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/1/2024","98","BMBE0755","BNTK6217","C","CC","Regular","2",
"52224","F3470","59157","5/22/2023","10/31/2023","TLLZZ - TN70","","231","","","","1/3/2024","98","BMBE0755","BNTK6217","C","CC","Regular","4",
"51029","F3484","59061","5/22/2023","11/7/2023","TLLZZ - TN70","","231","","","","1/7/2024","98","BMBE6298","GNHB5540","C","CC","Regular","2",
"51036","F3488","59051","5/22/2023","11/7/2023","TLLZZ - TN70","","231","","","","1/3/2024","98","BMBE6298","GNHB5540","C","CC","Regular","2",
"51406","F3448","55720","5/21/2023","10/24/2023","TLLZZ - TN70","","232","","","","12/31/2023","98","BMBE0499","BNTK6217","C","CC","Regular","4",
"9264","F3493","9645","5/22/2023","10/31/2023","TZZZZ - AVÓ","","231","","","","1/4/2024","109","","","A","AA","Regular","3",
"51407","F3491","55652","5/22/2023","10/24/2023","TLLZZ - TN70","","231","","","","12/29/2023","98","BMBD5677","GNHA5472","C","CC","Regular","4",
"52216","F3513","59139","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","12/20/2023","98","BMBE0362","GNHA7581","C","CC","Regular","3",
"52214","F3528","59194","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","1/6/2024","98","BMBE3703","GNHA7581","C","CC","Regular","3",
"51045","F3592","59068","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","12/20/2023","98","BMBD5717","PS01077243","C","CC","Regular","2",
"51246","F3602","59054","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","1/7/2024","118","BMBE0965","PS01077243","C","CC","Regular","4",
"9261","F3555","9600","5/26/2023","10/31/2023","TZZZZ - AVÓ","","227","","","","1/2/2024","111","","","A","AA","Regular","2",
"9265","F3557","9630","5/26/2023","10/31/2023","TZZZZ - AVÓ","","227","","","","12/21/2023","111","","","A","AA","Regular","2",
"51908","F3564","59170","5/26/2023","10/31/2023","TLLZZ - TN70","","227","","","","1/5/2024","98","BMBE0226","BJ01023195","C","CC","Regular","4",
"51924","F3562","59142","5/26/2023","10/31/2023","TLLZZ - TN70","","227","","","","12/21/2023","98","BMBE0226","BJ01023195","C","CC","Regular","3",
"52201","F3561","59175","5/26/2023","10/31/2023","TLLZZ - TN70","","227","","","","12/23/2023","98","BMBE0226","BJ01023195","C","CC","Regular","3",
"52206","F3560","59110","5/26/2023","10/31/2023","TLLZZ - TN70","","227","","","","12/20/2023","98","BMBE0226","BJ01023195","C","CC","Regular","3",
"50844","F3572","59039","5/26/2023","11/7/2023","TLLZZ - TN70","","227","","","","12/29/2023","98","BMBE0964","BJ01023195","C","CC","Regular","3",
"51037","F3580","59087","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","12/26/2023","98","BMBE0970","BJ01023195","C","CC","Regular","3",
"9665","F3556","9666","5/26/2023","11/14/2023","TZZZZ - AVÓ","","227","","","","1/4/2024","111","","","A","AA","Regular","2",
"51914","F3549","59101","5/25/2023","10/31/2023","TLLZZ - TN70","","228","","","","1/2/2024","98","BMBD7888","BJ01023195","C","CC","Regular","4",
"51975","F3536","59190","5/25/2023","10/31/2023","TLLZZ - TN70","","228","","","","12/24/2023","98","BMBE3705","GNHA7581","C","CC","Regular","3",
"52471","F3552","59053","5/25/2023","11/7/2023","TLLZZ - TN70","","228","","","","1/5/2024","98","BMBD7888","BJ01023195","C","CC","Regular","3",
"51655","F3516","55845","5/24/2023","10/24/2023","TLLZZ - TN70","","229","","","","12/31/2023","98","BMBE0362","GNHA7581","C","CC","Regular","3",
"51673","F3510","55828","5/24/2023","10/24/2023","TLLZZ - TN70","","229","","","","12/27/2023","98","BMBE0362","GNHA7581","C","CC","Regular","4",
"51922","F3527","59114","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","1/8/2024","98","BMBE3703","GNHA7581","C","CC","Regular","4",
"52207","F3506","59106","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","1/3/2024","98","BMBE0362","GNHA7581","C","CC","Regular","4",
"52208","F3509","59118","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","12/24/2023","98","BMBE0362","GNHA7581","C","CC","Regular","3",
"52212","F3508","59171","5/24/2023","10/31/2023","TLLZZ - TN70","","229","","","","12/29/2023","98","BMBE0362","GNHA7581","C","CC","Regular","3",
"51909","F3538","59159","5/25/2023","10/31/2023","TLLZZ - TN70","","228","","","","12/29/2023","98","BMBE3705","GNHA7581","C","CC","Regular","3",
"51934","F3439","59136","5/21/2023","10/31/2023","TLLZZ - TN70","","232","","","","1/4/2024","98","BMBE6306","GNHA7581","C","CC","Regular","4",
"50837","F3672","59109","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","12/31/2023","108","BMBD6206","PS01078318","C","CC","Regular","2",
"50829","F3681","59134","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","12/28/2023","98","BMBE3541","GNHC1082","C","CC","Regular","3",
"51576","F3807","59017","6/8/2023","11/21/2023","TLLZZ - TN70","","214","","","","12/28/2023","98","BMBE0962","PS01078318","C","CC","Regular","2",
"51579","F3802","59073","6/8/2023","11/21/2023","TLLZZ - TN70","","214","","","","1/5/2024","98","BMBE0962","PS01078318","C","CC","Regular","2",
"51581","F3790","59024","6/8/2023","11/21/2023","TLLZZ - TN70","","214","","","","1/7/2024","113","BMBE0973","PS01078318","C","CC","Regular","3",
"51582","F3794","59206","6/8/2023","11/21/2023","TLLZZ - TN70","","214","","","","1/7/2024","113","BMBE0973","PS01078318","C","CC","Regular","3",
"52368","F3792","59257","6/8/2023","11/21/2023","TLLZZ - TN70","","214","","","","1/5/2024","113","BMBE0973","PS01078318","C","CC","Regular","2",
"51035","F3775","59063","6/7/2023","11/7/2023","TLLZZ - TN70","","215","","","","12/31/2023","111","BMBD1362","PS01078318","C","CC","Regular","3",
"51049","F3777","59079","6/7/2023","11/7/2023","TLLZZ - TN70","","215","","","","12/25/2023","111","BMBD1362","PS01078318","C","CC","Regular","3",
"52021","F3760","59034","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","1/4/2024","98","BMBE0753","PS01078318","C","CC","Regular","2",
"52177","F3784","59044","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","12/30/2023","117","BMBE0995","PS01078318","C","CC","Regular","3",
"52179","F3787","59010","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","12/25/2023","117","BMBE0995","PS01078318","C","CC","Regular","2",
"52185","F3778","59041","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","1/3/2024","111","BMBD1362","PS01078318","C","CC","Regular","1",
"52188","F3761","59012","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","1/2/2024","98","BMBE0753","PS01078318","C","CC","Regular","2",
"52189","F3762","59030","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","1/7/2024","98","BMBE0753","PS01078318","C","CC","Regular","1",
"52194","F3779","59032","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","1/1/2024","111","BMBD1362","PS01078318","C","CC","Regular","3",
"52197","F3767","59071","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","12/31/2023","98","BMBD3892","BNTL1068","C","CC","Regular","2",
"52451","F3788","59036","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","12/23/2023","117","BMBE0995","PS01078318","C","CC","Regular","2",
"52456","F3783","59046","6/7/2023","11/14/2023","TLLZZ - TN70","","215","","","","12/12/2023","117","BMBE0995","PS01078318","C","CC","Regular","2",
"51586","F3769","59259","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","1/3/2024","98","BMBD3892","BNTL1068","C","CC","Regular","2",
"51590","F3789","59273","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","1/5/2024","117","BMBE0995","PS01078318","C","CC","Regular","2",
"52462","F3811","59098","6/8/2023","11/14/2023","TLLZZ - TN70","","214","","","","1/7/2024","98","BMBD8708","GNHA7581","C","CC","Regular","2",
"52454","F3791","59045","6/8/2023","11/14/2023","TLLZZ - TN70","","214","","","","1/7/2024","113","BMBE0973","PS01078318","C","CC","Regular","3",
"52190","F3810","59035","6/8/2023","11/14/2023","TLLZZ - TN70","","214","","","","12/25/2023","98","BMBD8708","GNHA7581","C","CC","Regular","2",
"52183","F3796","59002","6/8/2023","11/14/2023","TLLZZ - TN70","","214","","","","","98","BMBE0962","PS01078318","C","CC","Anestro","0",
"9687","F3860","9478","6/11/2023","11/28/2023","TZZZZ - AVÓ","","211","","","","1/8/2024","112","","","A","AA","Regular","2",
"9691","F3846","9570","6/11/2023","11/28/2023","TZZZZ - AVÓ","","211","","","","12/29/2023","109","","","A","AA","Regular","1",
"9697","F3858","9561","6/11/2023","11/28/2023","TZZZZ - AVÓ","","211","","","","12/29/2023","112","","","A","AA","Regular","2",
"9626","F3867","9523","6/11/2023","12/5/2023","TZZZZ - AVÓ","","211","","","","","110","","","A","AA","Anestro","0",
"50845","F3827","59094","6/10/2023","11/7/2023","TLLZZ - TN70","","212","","","","12/29/2023","98","BMBD3778","PS01078318","C","CC","Regular","3",
"51030","F3835","59076","6/10/2023","11/7/2023","TLLZZ - TN70","","212","","","","12/26/2023","98","BMBE0972","PS01078318","C","CC","Regular","2",
"51041","F3824","59091","6/10/2023","11/7/2023","TLLZZ - TN70","","212","","","","1/4/2024","98","BMBD3778","PS01078318","C","CC","Regular","2",
"52022","F3839","59031","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","12/31/2023","98","BMBE0972","PS01078318","C","CC","Regular","3",
"52181","F3836","59000","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","12/25/2023","98","BMBE0972","PS01078318","C","CC","Regular","2",
"51592","F3766","59224","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","1/2/2024","98","BMBD3892","BNTL1068","C","CC","Regular","2",
"52184","F3825","59059","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","12/31/2023","98","BMBD3778","PS01078318","C","CC","Regular","3",
"52461","F3838","59078","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","12/23/2023","98","BMBE0972","PS01078318","C","CC","Regular","2",
"52468","F3823","59080","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","1/5/2024","98","BMBD3778","PS01078318","C","CC","Regular","2",
"51588","F3828","59242","6/10/2023","11/21/2023","TLLZZ - TN70","","212","","","","1/7/2024","98","BMBD3778","PS01078318","C","CC","Regular","2",
"52369","F3834","52369","6/10/2023","11/21/2023","TLLZZ - TN70","","212","","","","12/31/2023","98","BMBE0972","PS01078318","C","CC","Regular","2",
"51540","F3840","59219","6/10/2023","11/28/2023","TLLZZ - TN70","","212","","","","12/25/2023","98","BMBE0972","PS01078318","C","CC","Regular","2",
"50830","F3820","59067","6/9/2023","11/7/2023","TLLZZ - TN70","","213","","","","1/7/2024","109","BMBE3411","GNHA7581","C","CC","Regular","3",
"52465","F3816","59064","6/9/2023","11/14/2023","TLLZZ - TN70","","213","","","","1/7/2024","109","BMBE3411","GNHA7581","C","CC","Regular","3",
"50839","F3809","59052","6/8/2023","11/7/2023","TLLZZ - TN70","","214","","","","12/28/2023","98","BMBD8708","GNHA7581","C","CC","Regular","2",
"52182","F3799","59096","6/8/2023","11/14/2023","TLLZZ - TN70","","214","","","","","98","BMBE0962","PS01078318","C","CC","Anestro","0",
"52452","F3837","59018","6/10/2023","11/14/2023","TLLZZ - TN70","","212","","","","1/5/2024","98","BMBE0972","PS01078318","C","CC","Regular","3",
"50833","F3676","59154","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","1/2/2024","108","BMBD6206","PS01078318","C","CC","Regular","3",
"51596","F3765","59240","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","12/25/2023","98","BMBE0753","PS01078318","C","CC","Regular","2",
"52010","F3773","59276","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","1/5/2024","98","BMBD3892","BNTL1068","C","CC","Regular","2",
"52186","F3717","59008","6/4/2023","11/14/2023","TLLZZ - TN70","","218","","","","1/7/2024","125","BMBE0966","PS01077222","C","CC","Regular","3",
"52195","F3713","59050","6/4/2023","11/14/2023","TLLZZ - TN70","","218","","","","1/6/2024","98","BMBE0676","PS01077222","C","CC","Regular","3",
"52458","F3724","59097","6/4/2023","11/14/2023","TLLZZ - TN70","","218","","","","12/30/2023","125","BMBE0966","PS01077222","C","CC","Regular","2",
"52466","F3722","59047","6/4/2023","11/14/2023","TLLZZ - TN70","","218","","","","12/21/2023","125","BMBE0966","PS01077222","C","CC","Regular","2",
"50826","F3702","59129","6/3/2023","11/7/2023","TLLZZ - TN70","","219","","","","12/30/2023","98","BMBE3644","BNTL1068","C","CC","Regular","2",
"51027","F3704","59074","6/3/2023","11/7/2023","TLLZZ - TN70","","219","","","","12/22/2023","98","BMBE3644","BNTL1068","C","CC","Regular","2",
"51034","F3706","59042","6/3/2023","11/7/2023","TLLZZ - TN70","","219","","","","12/21/2023","98","BMBE3644","BNTL1068","C","CC","Regular","3",
"52176","F3707","59016","6/3/2023","11/14/2023","TLLZZ - TN70","","219","","","","1/4/2024","98","BMBE3644","BNTL1068","C","CC","Regular","2",
"52180","F3709","59013","6/3/2023","11/14/2023","TLLZZ - TN70","","219","","","","","98","BMBE3644","BNTL1068","C","CC","Anestro","0",
"52199","F3705","59015","6/3/2023","11/14/2023","TLLZZ - TN70","","219","","","","12/24/2023","98","BMBE3644","BNTL1068","C","CC","Regular","2",
"9619","F3695","9556","6/2/2023","11/7/2023","TZZZZ - AVÓ","","220","","","","12/24/2023","113","","","A","AA","Regular","3",
"9651","F3689","9530","6/2/2023","11/7/2023","TZZZZ - AVÓ","","220","","","","12/21/2023","111","","","A","AA","Regular","3",
"9661","F3697","9565","6/2/2023","11/7/2023","TZZZZ - AVÓ","","220","","","","1/4/2024","113","","","A","AA","Regular","3",
"9638","F3699","9534","6/2/2023","11/14/2023","TZZZZ - AVÓ","","220","","","","1/3/2024","113","","","A","AA","Regular","2",
"9639","F3700","9558","6/2/2023","11/14/2023","TZZZZ - AVÓ","","220","","","","1/4/2024","113","","","A","AA","Regular","3",
"9686","F3685","9529","6/2/2023","11/14/2023","TZZZZ - AVÓ","","220","","","","1/4/2024","111","","","A","AA","Regular","3",
"9688","F3691","9804","6/2/2023","11/14/2023","TZZZZ - AVÓ","","220","","","","1/7/2024","111","","","A","AA","Regular","3",
"9614","F3687","9547","6/2/2023","11/21/2023","TZZZZ - AVÓ","","220","","","","12/24/2023","111","","","A","AA","Regular","2",
"9630","F3688","9551","6/2/2023","11/21/2023","TZZZZ - AVÓ","","220","","","","1/3/2024","111","","","A","AA","Regular","2",
"52016","F3720","59056","6/4/2023","11/14/2023","TLLZZ - TN70","","218","","","","12/31/2023","125","BMBE0966","PS01077222","C","CC","Regular","3",
"51928","F3711","59014","6/4/2023","11/7/2023","TLLZZ - TN70","","218","","","","1/5/2024","98","BMBE0676","PS01077222","C","CC","Regular","3",
"51032","F3723","59095","6/4/2023","11/7/2023","TLLZZ - TN70","","218","","","","12/24/2023","125","BMBE0966","PS01077222","C","CC","Regular","3",
"51031","F3715","59082","6/4/2023","11/7/2023","TLLZZ - TN70","","218","","","","12/22/2023","98","BMBE0676","PS01077222","C","CC","Regular","3",
"52372","F3764","59239","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","1/7/2024","98","BMBE0753","PS01078318","C","CC","Regular","2",
"51538","F3758","59202","6/7/2023","11/28/2023","TLLZZ - TN70","","215","","","","1/7/2024","98","BMBE0753","PS01078318","C","CC","Regular","2",
"50831","F3743","59084","6/6/2023","11/7/2023","TLLZZ - TN70","","216","","","","12/25/2023","98","BMBD5966","PS01077222","C","CC","Regular","2",
"50838","F3747","59158","6/6/2023","11/7/2023","TLLZZ - TN70","","216","","","","12/30/2023","98","BMBD5966","PS01077222","C","CC","Regular","3",
"51047","F3742","59086","6/6/2023","11/7/2023","TLLZZ - TN70","","216","","","","12/25/2023","98","BMBD5966","PS01077222","C","CC","Regular","3",
"51048","F3739","56442","6/6/2023","11/7/2023","TLLZZ - TN70","","216","","","","12/27/2023","98","BMBD5966","PS01077222","C","CC","Regular","3",
"52193","F3740","59043","6/6/2023","11/14/2023","TLLZZ - TN70","","216","","","","12/29/2023","98","BMBD5966","PS01077222","C","CC","Regular","3",
"52460","F3750","59093","6/6/2023","11/14/2023","TLLZZ - TN70","","216","","","","12/29/2023","98","BMBD5961","PS01078318","C","CC","Regular","1",
"51577","F3746","59281","6/6/2023","11/21/2023","TLLZZ - TN70","","216","","","","12/19/2023","98","BMBD5966","PS01077222","C","CC","Regular","2",
"51598","F3770","59256","6/7/2023","11/21/2023","TLLZZ - TN70","","215","","","","12/31/2023","98","BMBD3892","BNTL1068","C","CC","Regular","2",
"51597","F3745","59243","6/6/2023","11/21/2023","TLLZZ - TN70","","216","","","","1/5/2024","98","BMBD5966","PS01077222","C","CC","Regular","2",
"9662","F3730","9528","6/5/2023","11/7/2023","TZZZZ - AVÓ","","217","","","","1/8/2024","113","","","A","AA","Regular","3",
"9670","F3731","9589","6/5/2023","11/7/2023","TZZZZ - AVÓ","","217","","","","1/3/2024","113","","","A","AA","Regular","2",
"50828","F3735","59038","6/5/2023","11/7/2023","TLLZZ - TN70","","217","","","","12/25/2023","120","BMBE0969","PS01077222","C","CC","Regular","3",
"51038","F3725","59119","6/5/2023","11/7/2023","TLLZZ - TN70","","217","","","","1/1/2024","116","BMBD1361","PS01077222","C","CC","Regular","3",
"9693","F3732","9550","6/5/2023","11/14/2023","TZZZZ - AVÓ","","217","","","","","113","","","A","AA","Anestro","0",
"52187","F3727","59007","6/5/2023","11/14/2023","TLLZZ - TN70","","217","","","","1/7/2024","116","BMBD1361","PS01077222","C","CC","Regular","3",
"52470","F3737","59081","6/5/2023","11/14/2023","TLLZZ - TN70","","217","","","","1/2/2024","120","BMBE0969","PS01077222","C","CC","Regular","3",
"50834","F3719","59088","6/4/2023","11/7/2023","TLLZZ - TN70","","218","","","","1/2/2024","125","BMBE0966","PS01077222","C","CC","Regular","3",
